CustomerID,BikeBuyer,YearlyIncome,Age,MaritalStatus,Education,Gender,NumberCarsOwned,TotalChildren
22522,1,77729,43,S,Partial College,M,0,0
18161,1,54058,52,M,Partial College,F,1,1
27571,1,87071,46,M,Graduate Degree,F,1,2
16500,0,26818,30,S,High School,F,0,0
14881,1,52630,52,M,Bachelors,M,0,2
26384,1,83410,49,M,Partial College,M,2,2
26162,1,83299,45,M,Partial College,F,2,2
27398,0,54201,62,S,Bachelors,F,1,1
13710,1,133136,39,S,Graduate Degree,F,2,0
21252,1,60371,26,S,Partial High School,M,2,0
14911,1,55220,48,M,Partial College,F,1,2
22102,0,85098,45,M,Partial College,M,1,2
28082,1,129013,37,S,Bachelors,M,2,0
29044,1,106013,37,S,Bachelors,F,2,0
26800,1,77922,29,S,Partial College,F,2,0
16392,0,104734,37,M,Graduate Degree,F,3,0
11961,0,83202,32,S,Partial College,F,2,0
25001,1,61391,61,M,High School,M,1,2
21494,0,82687,54,S,High School,F,0,0
21128,0,83361,30,S,Partial College,M,1,0
15720,1,57161,31,M,Bachelors,F,2,0
15048,1,109320,44,M,Graduate Degree,F,3,2
26631,0,27866,45,M,Partial College,M,1,2
20082,0,53889,52,S,High School,F,1,0
22147,1,53916,58,M,Partial High School,M,0,2
16522,0,56880,26,M,High School,F,1,0
22201,1,85533,48,M,High School,F,3,2
25972,0,109072,42,S,Bachelors,F,1,0
17885,0,110148,43,M,Graduate Degree,M,4,2
13419,1,103959,40,M,Partial College,F,2,2
15827,0,54230,26,S,High School,F,1,0
26644,1,133903,47,S,Bachelors,F,2,0
20335,1,79311,43,S,Bachelors,M,1,0
28170,1,84084,44,M,Partial College,F,2,2
26306,1,54821,36,S,Bachelors,M,2,0
14739,1,77748,51,M,Partial College,M,2,2
19748,0,27122,59,M,High School,M,0,2
14969,1,62520,42,S,Partial College,M,0,0
22061,0,55096,27,S,Partial College,F,1,0
21464,1,83229,60,M,Bachelors,M,2,2
23570,0,60347,66,M,Bachelors,F,0,3
11259,0,27006,40,M,Partial College,F,0,1
23631,0,56071,56,S,High School,M,0,0
17165,1,51705,55,S,Partial College,M,0,0
28860,1,87993,39,M,Graduate Degree,M,0,2
21309,1,81913,50,M,Partial College,F,2,2
18266,1,55838,42,S,Bachelors,F,0,0
26936,0,32924,46,S,Partial College,F,1,0
19540,1,136633,46,M,Bachelors,F,2,2
23475,0,28954,71,M,Graduate Degree,M,1,3
15557,0,78271,45,M,Partial College,M,1,1
28144,1,54082,31,S,Partial College,M,0,0
25222,1,102019,44,S,Partial College,F,2,0
24481,1,58336,47,M,Bachelors,M,1,2
26137,1,106235,38,M,Bachelors,M,2,0
28577,0,132506,39,M,Graduate Degree,M,1,2
22223,1,61547,48,M,Partial College,F,0,2
16903,1,134871,67,S,Graduate Degree,M,2,1
12277,0,51970,36,S,High School,F,1,0
23849,1,129017,34,S,Graduate Degree,F,3,0
27965,0,51980,56,S,High School,F,1,0
18258,0,107530,37,S,Bachelors,F,1,0
15469,1,80444,35,M,Graduate Degree,M,1,1
24412,1,105715,43,S,Partial College,F,2,0
29260,1,77151,70,S,Graduate Degree,M,0,1
19547,0,81669,47,M,Bachelors,F,1,2
28680,0,81432,39,S,Graduate Degree,F,2,0
21877,1,34298,29,S,Bachelors,M,0,0
20141,0,107934,46,M,Bachelors,F,1,2
27061,1,109457,32,S,Graduate Degree,F,2,0
23147,1,54266,35,M,Bachelors,M,1,1
14169,0,26150,37,S,High School,F,0,0
19142,1,112302,39,M,Graduate Degree,M,3,2
20199,1,81542,46,M,Graduate Degree,F,3,1
12114,1,51854,54,M,High School,M,2,2
26343,1,54153,40,S,Bachelors,F,0,0
28322,0,105736,41,S,Bachelors,M,1,0
19498,1,54626,26,S,Partial College,F,2,0
14131,1,83144,27,M,Bachelors,M,2,0
15157,1,135029,64,M,Graduate Degree,M,2,2
11199,1,52476,59,M,Bachelors,F,0,2
28902,0,84807,52,S,Bachelors,F,0,0
12016,1,36634,29,S,High School,F,0,0
16065,0,84866,36,S,Bachelors,F,3,0
27085,1,79867,35,M,Bachelors,M,1,2
12707,0,51783,64,M,Graduate Degree,M,0,2
15046,1,55768,62,M,Graduate Degree,F,1,2
21710,1,80690,47,M,Partial College,F,2,2
24292,1,30247,31,M,High School,F,0,0
28225,1,83705,48,M,Partial College,M,2,2
19101,0,106597,34,S,Bachelors,F,2,0
24775,1,60958,33,M,Graduate Degree,F,0,2
17608,1,111130,40,S,Bachelors,M,2,0
25440,1,53604,40,M,Bachelors,M,0,1
24290,0,57269,31,M,High School,F,1,0
18599,1,61287,41,S,Bachelors,M,2,0
23548,0,77098,29,S,High School,F,1,0
14271,1,52607,31,M,High School,M,2,0
16221,1,130743,52,M,Bachelors,M,2,2
20366,1,59358,45,M,High School,M,0,2
28583,1,54025,51,M,High School,M,0,1
24977,1,79556,56,M,Partial College,F,2,2
22988,0,128521,65,M,Bachelors,F,1,2
21042,1,51642,53,M,Partial College,M,1,2
22825,1,52484,53,S,Partial College,F,2,0
29385,1,30051,42,S,High School,M,0,0
26269,0,25495,48,M,Partial High School,F,1,1
18335,1,136250,63,M,Bachelors,M,2,2
19525,1,51351,45,S,Bachelors,F,0,0
22072,1,134516,42,S,Bachelors,M,2,0
17240,1,58340,32,M,Partial College,M,2,0
29014,1,78194,55,M,Partial College,M,3,2
11814,0,27849,35,M,Graduate Degree,M,0,2
25304,0,31315,33,S,Partial High School,M,0,0
28364,1,133103,37,M,Graduate Degree,F,2,2
15070,1,85953,36,S,High School,M,1,0
21073,1,78356,40,S,High School,F,0,0
19136,1,132022,39,M,Graduate Degree,M,2,0
21074,1,103281,40,M,Bachelors,F,2,0
27164,0,36326,33,S,Partial High School,M,0,0
17610,1,80632,40,S,Bachelors,F,2,0
29291,0,54443,42,M,Bachelors,F,1,1
27808,1,53720,40,M,Partial College,M,1,2
13715,1,138094,52,M,Bachelors,M,2,2
23204,0,81168,41,S,Bachelors,F,2,0
19846,1,110907,62,M,Bachelors,M,0,2
18077,0,55051,58,M,Partial College,M,2,2
14192,1,60460,55,M,High School,M,1,2
12436,0,113065,50,M,Partial College,M,1,2
12751,1,78659,34,S,Partial College,F,2,0
26370,1,60825,40,M,High School,F,0,2
17751,1,51307,47,S,Partial College,M,0,0
21357,1,135850,64,S,Graduate Degree,F,2,1
26851,0,56139,42,S,High School,F,1,0
19939,1,106292,55,M,Partial College,M,1,2
17590,1,86492,35,M,Graduate Degree,M,0,2
22922,1,78270,37,S,Bachelors,F,2,0
16231,1,76306,50,M,Partial College,F,2,2
20954,0,26611,31,S,Partial High School,M,0,0
27727,0,53598,26,S,High School,F,1,0
24268,1,55540,55,M,Partial High School,F,1,2
12908,0,138508,34,M,Graduate Degree,M,2,0
24938,1,103553,66,M,Graduate Degree,F,0,3
20842,1,106124,45,S,Bachelors,M,2,0
13827,0,87137,28,M,Partial College,M,3,0
26825,0,53321,39,M,Partial High School,M,0,1
22442,1,106613,36,S,Bachelors,F,2,0
23344,1,53096,47,S,High School,F,0,0
28227,1,60793,49,S,Partial High School,M,1,0
16411,0,30763,41,S,Partial High School,M,1,0
12925,0,135185,39,M,Graduate Degree,F,0,2
28605,0,57677,49,S,Partial High School,M,1,0
16051,1,78065,49,M,Bachelors,M,1,2
15535,1,82159,42,M,Bachelors,M,2,2
14684,1,104925,40,M,Bachelors,M,3,2
24098,1,53762,40,S,Partial College,F,2,0
15718,0,85651,29,M,Bachelors,F,0,0
17774,1,78680,37,M,Partial College,F,1,1
17709,1,138681,44,M,Graduate Degree,M,2,2
27781,1,86677,40,S,High School,M,0,0
15057,1,84713,46,S,Partial College,F,0,0
27418,1,102387,57,S,Partial College,F,3,0
13647,0,26017,35,S,Partial High School,M,0,0
13807,1,78140,41,S,Partial College,M,2,0
22804,0,57071,51,M,Partial College,F,2,2
22117,0,36338,52,M,Graduate Degree,F,1,1
26032,0,55936,40,M,Bachelors,F,2,1
18593,0,59776,40,S,Bachelors,F,2,0
25858,0,53200,60,S,Partial High School,F,1,1
26154,1,33934,43,M,Partial College,M,0,2
28521,0,58601,36,S,Graduate Degree,M,0,0
27768,0,78945,38,S,High School,F,3,0
26883,0,32044,29,S,High School,F,0,0
16325,1,112047,92,S,Partial College,F,2,1
26991,1,79952,33,M,High School,M,0,1
20805,1,35702,50,M,Partial College,M,1,2
27333,1,57286,57,M,Partial College,F,0,2
13902,1,57036,36,M,Graduate Degree,M,0,1
21475,1,82552,57,M,Bachelors,F,2,1
15883,1,130517,60,M,Bachelors,M,1,2
25781,1,32990,61,S,Bachelors,M,0,1
25045,0,35976,31,M,High School,F,1,0
15594,1,80570,38,S,Graduate Degree,F,0,0
13306,1,58899,49,M,High School,F,1,2
13666,0,61956,32,S,Partial High School,F,0,0
28613,0,27870,49,M,High School,M,1,2
14676,1,51704,38,S,Bachelors,M,2,0
28427,0,105891,28,S,Partial College,F,0,0
15213,1,82216,44,M,Partial College,F,3,2
18588,0,58372,40,S,Bachelors,F,1,0
18841,1,56626,69,M,Partial College,F,1,2
13288,0,53367,42,M,Partial College,M,2,1
22022,0,28750,28,S,Partial High School,M,0,0
13197,0,59994,61,M,Graduate Degree,F,2,2
14174,1,54516,60,M,High School,M,2,2
14092,1,53750,27,S,Partial High School,M,1,0
11646,1,57716,36,S,Bachelors,F,0,0
23358,0,28383,31,M,High School,M,0,0
17853,0,36569,32,S,Partial High School,M,0,0
12786,1,109581,49,M,Partial College,M,3,2
21487,1,76776,56,S,Partial College,F,0,0
20772,1,137727,47,S,Graduate Degree,F,2,0
18376,1,55340,49,M,Partial College,F,2,2
12046,0,27779,31,S,Partial College,F,1,0
17154,1,56833,56,M,Bachelors,M,0,2
28498,1,33026,46,S,High School,F,0,0
14114,0,78520,33,M,Partial College,F,1,1
12137,1,54573,73,M,Graduate Degree,M,1,3
26009,1,128329,46,M,Graduate Degree,M,1,2
24857,1,57689,51,M,High School,F,0,2
28106,1,36575,28,M,Partial College,F,1,0
18182,0,32896,57,S,Partial High School,F,0,0
20140,1,81432,47,M,Bachelors,M,0,1
20370,0,34554,51,M,Partial High School,M,1,2
12631,1,54375,61,S,High School,M,1,1
11743,1,111563,47,M,Bachelors,M,2,2
20516,1,85889,58,M,Partial College,M,1,2
28268,1,62077,44,S,High School,F,0,0
20481,1,78344,43,M,High School,M,2,1
17194,1,52349,51,M,Partial College,M,0,2
12747,0,61820,34,S,Partial High School,F,1,0
20784,1,128425,46,M,Graduate Degree,M,3,2
28419,1,84402,43,M,Bachelors,F,2,2
17301,0,108902,41,S,Bachelors,M,1,0
18786,1,62372,38,S,Bachelors,M,2,0
11666,1,133099,34,M,Graduate Degree,M,3,0
25275,1,85962,29,S,High School,F,0,0
12095,0,129522,57,M,Bachelors,M,2,2
27681,1,34135,54,M,Partial College,F,1,1
25471,0,59521,40,M,High School,M,0,1
19282,1,34487,47,M,Graduate Degree,F,1,2
21913,1,54306,25,S,Partial High School,M,1,0
15408,0,79606,52,S,Graduate Degree,F,2,0
27018,1,77126,39,S,Graduate Degree,M,1,0
24186,1,59362,45,S,Partial College,M,1,0
12382,0,34019,33,S,Partial High School,F,1,0
24211,1,129567,36,S,Graduate Degree,F,2,0
18010,1,60667,40,S,Partial College,M,2,0
27794,0,138022,72,M,Graduate Degree,F,2,2
12253,0,53629,28,S,Partial College,F,1,0
14287,1,107890,46,S,Graduate Degree,M,0,0
20945,0,83477,29,S,Partial College,M,0,0
20449,0,25978,29,S,Partial College,F,0,0
16027,0,57948,59,M,Partial College,F,2,2
12339,0,27626,29,S,Bachelors,M,0,0
22364,1,52502,47,M,Graduate Degree,F,0,1
21545,0,32859,56,M,High School,F,0,2
24830,1,34470,40,M,Graduate Degree,F,0,2
16797,1,33994,57,M,Partial College,M,0,2
25590,0,56889,35,S,Partial College,F,2,0
14784,1,31101,37,S,Bachelors,M,0,0
26642,1,79698,47,M,Partial College,F,2,2
28262,1,110846,44,M,Partial College,F,2,2
28872,0,57466,34,S,Partial High School,F,1,0
27488,1,57090,54,M,Partial High School,F,1,2
23565,0,82037,29,S,High School,F,3,0
18737,1,52717,46,S,Bachelors,M,2,0
16443,0,79118,26,S,Partial College,F,3,0
26350,1,36501,40,M,Graduate Degree,F,1,2
17786,1,86737,38,S,Partial College,F,0,0
14663,1,58529,47,M,Bachelors,M,0,2
17477,1,107870,63,S,Bachelors,F,3,1
27255,0,58953,33,M,Bachelors,M,1,1
21474,1,77607,57,M,Partial College,M,2,2
25188,0,59464,69,M,Partial College,M,2,3
16358,1,57786,31,M,High School,M,2,0
15137,0,31877,33,M,High School,M,1,1
16471,1,53308,92,M,High School,F,0,3
27252,1,137943,34,M,Graduate Degree,F,3,0
29241,0,106718,43,S,Partial College,F,2,0
14290,1,61966,48,S,Partial High School,M,1,0
22638,0,59016,38,S,Partial High School,F,0,0
23813,1,57754,46,S,Partial College,F,2,0
27806,0,87499,43,S,Partial College,F,1,0
11358,1,109789,27,S,Partial College,F,3,0
24524,1,104035,37,M,Bachelors,F,3,0
24477,1,78413,44,S,Partial College,M,2,0
26084,0,78396,43,M,Bachelors,M,2,2
21460,1,54441,60,M,Bachelors,M,0,2
26383,0,28711,49,S,Partial College,M,0,0
17694,1,129067,32,S,Graduate Degree,F,3,0
20972,1,105772,68,M,Bachelors,M,1,2
28476,0,83057,64,S,Partial College,M,1,1
25464,1,56598,39,M,High School,M,1,2
19325,1,33503,38,M,Bachelors,F,1,2
16937,1,135358,43,M,Graduate Degree,M,2,0
21272,1,110952,36,S,Bachelors,F,2,0
24367,0,136281,36,S,Graduate Degree,M,3,0
11296,1,134033,70,S,Graduate Degree,F,0,1
21341,1,129502,67,M,Graduate Degree,M,1,2
24698,1,58387,32,S,High School,M,0,0
17001,0,102948,42,S,Bachelors,F,3,0
22930,1,131323,37,M,Bachelors,M,2,0
13309,0,77470,69,M,Bachelors,F,2,2
24776,1,129777,34,M,Graduate Degree,F,2,0
15401,0,33196,51,S,Partial High School,F,1,0
21741,1,110863,49,M,Partial College,F,2,2
26672,1,130832,39,M,Bachelors,F,2,2
15600,1,30556,37,M,Bachelors,M,1,2
25137,1,108692,37,M,Bachelors,F,3,0
27996,1,54780,68,M,Graduate Degree,F,2,2
28472,0,57568,67,M,Bachelors,F,1,3
18395,0,53935,43,M,Partial College,M,1,2
11534,1,130831,47,S,Graduate Degree,M,2,0
11851,0,83616,42,S,Bachelors,F,0,0
27684,1,86932,55,M,Partial College,F,3,2
21415,0,58625,31,S,Partial College,F,1,0
23444,0,61912,32,S,Partial College,M,0,0
25180,0,56625,44,S,High School,F,1,0
15954,0,61679,42,M,Partial College,M,2,2
20881,1,31747,38,S,Partial College,F,0,0
13253,1,57426,47,M,Partial College,F,0,2
16278,1,80987,41,M,Partial College,M,1,2
11780,1,129957,34,S,Graduate Degree,F,0,0
14246,0,77879,63,S,Bachelors,M,2,1
15369,1,57127,49,M,Partial College,M,2,2
18985,1,137656,60,M,Bachelors,F,1,2
17298,0,60980,37,S,Bachelors,M,1,0
26822,1,77129,38,S,Partial College,F,0,0
20341,0,28823,44,M,Partial College,M,1,2
19272,0,61604,62,M,Partial College,M,1,2
21479,1,128522,57,M,Bachelors,M,3,2
29308,0,81712,42,S,Bachelors,M,2,0
15417,1,61014,64,S,Graduate Degree,M,1,1
24433,1,54006,51,M,High School,M,1,1
13642,1,55564,35,M,High School,F,2,2
12983,1,61859,46,M,Bachelors,F,0,2
24919,1,54863,35,M,Partial High School,M,1,1
21409,1,86170,46,M,Bachelors,M,1,2
11336,0,137384,43,M,Graduate Degree,M,2,2
16406,1,84889,38,M,Bachelors,M,1,1
16218,1,57287,52,M,Bachelors,F,0,2
15278,0,84251,31,S,Partial College,M,1,0
12511,1,62358,27,S,Partial College,M,2,0
18311,1,76478,30,M,High School,F,2,0
19043,1,107557,60,M,Graduate Degree,F,2,3
17947,1,58563,47,S,Graduate Degree,M,2,0
21204,0,54102,39,S,Bachelors,F,0,0
11480,1,51078,32,M,Bachelors,F,0,0
29424,0,34597,31,M,Partial High School,M,1,0
11619,0,108617,32,S,Graduate Degree,F,3,0
27633,1,33567,43,M,Partial College,M,0,2
24305,1,52678,46,S,Bachelors,M,1,0
22680,0,112763,41,M,Bachelors,M,2,0
18056,0,77225,38,S,Graduate Degree,F,0,0
27272,1,33801,34,M,Graduate Degree,M,0,2
24078,1,106603,40,M,Bachelors,M,2,2
13996,1,55675,58,M,High School,F,1,2
24693,0,56549,26,S,Partial College,F,1,0
16044,1,132332,47,M,Bachelors,F,3,2
21931,1,53591,45,M,Partial College,M,2,2
13441,1,31874,43,M,Partial College,M,0,2
13505,1,110250,49,M,Partial College,F,0,2
19221,1,51658,48,M,High School,F,1,2
14722,0,106971,30,S,Partial College,F,1,0
21832,0,107401,61,M,Bachelors,M,2,2
20704,1,110947,42,M,Bachelors,M,1,1
16691,1,33284,39,S,Graduate Degree,F,0,0
11848,0,113492,41,M,Bachelors,M,2,0
18164,1,58864,52,M,Bachelors,F,2,2
16606,0,26174,29,S,Bachelors,M,1,0
16205,1,85412,34,S,Partial College,F,0,0
16936,0,56291,69,M,Graduate Degree,F,2,2
25048,0,56706,32,S,Partial College,F,1,0
29360,1,78939,37,S,Bachelors,M,1,0
25132,1,81676,37,M,Bachelors,F,3,1
23569,0,51476,66,S,Partial College,F,1,1
26143,1,132266,46,M,Bachelors,F,2,0
25416,0,27102,86,M,Partial High School,M,1,2
26999,0,57288,34,S,Partial High School,M,1,0
12497,1,128863,42,M,Bachelors,F,3,2
27862,0,51596,26,M,Partial College,F,2,0
23481,0,86529,42,S,Partial College,M,1,0
25839,1,107950,67,M,Graduate Degree,M,3,3
16107,0,102428,41,S,Bachelors,F,2,0
26119,1,56269,54,M,Partial College,F,2,2
26928,0,111462,62,S,Bachelors,M,2,1
19809,1,78476,39,M,Graduate Degree,M,1,2
15016,1,60464,25,S,Partial High School,M,1,0
27498,1,109392,49,S,Partial College,F,2,0
16017,0,29899,26,M,Partial College,M,0,0
12621,0,29966,35,M,Graduate Degree,M,0,2
16608,1,84208,29,S,Bachelors,M,0,0
21513,1,79269,61,M,High School,F,1,2
24447,1,56774,56,M,High School,M,2,1
26700,0,57405,42,S,Partial College,F,1,0
18360,1,80307,26,M,Partial College,M,2,0
11375,0,61019,62,M,Bachelors,M,1,2
15331,0,54503,56,M,Partial College,M,0,2
25777,0,26302,50,M,High School,F,1,2
22702,0,53315,30,S,High School,F,1,0
16154,1,130224,46,M,Bachelors,F,1,2
20162,0,62035,62,M,Partial College,F,1,3
19610,1,54033,46,M,Bachelors,F,1,2
23819,1,51944,32,M,Graduate Degree,F,2,0
23299,0,78663,37,M,Partial College,F,2,1
12327,0,32846,55,S,Partial College,M,0,0
12303,1,60696,59,M,Partial College,F,1,3
15755,0,56474,49,M,High School,M,1,2
12287,0,26983,53,S,Partial College,M,1,0
20033,1,112791,42,M,Bachelors,M,1,2
26223,0,59539,33,S,High School,M,1,0
19604,0,136177,39,S,Graduate Degree,F,3,0
25813,0,108032,29,S,Bachelors,M,0,0
12225,1,53833,47,M,Graduate Degree,F,1,1
